count,time
73,10:39:00
82,14:29:00
73,14:28:00
60,14:52:00
73,14:49:00
112,10:49:00
15,14:18:00
36,10:27:00
43,13:50:00
31,13:45:00
29,14:06:00
39,13:51:00
31,13:03:00
51,13:58:00
66,10:19:00
51,10:17:00
52,10:03:00
45,11:13:00
39,11:01:00
34,13:11:00
100,9:46:00
57,14:27:00
100,9:50:00
27,10:37:00
106,9:53:00
51,9:58:00
102,9:47:00
31,11:05:00
40,13:22:00
68,9:48:00
35,10:13:00
50,10:06:00
73,9:49:00
37,14:03:00
33,10:55:00
42,13:36:00
3283,9:31:00
70,10:21:00
81,13:01:00
23,13:43:00
474,9:38:00
66,11:10:00
59,11:18:00
128,10:43:00
30,10:30:00
41,13:21:00
50,10:51:00
92,14:55:00
32,14:44:00
67,11:20:00
40,13:20:00
51,13:49:00
944,9:32:00
356,10:47:00
49,11:19:00
344,9:37:00
115,9:44:00
45,10:52:00
167,9:51:00
41,11:11:00
61,13:32:00
52,13:56:00
54,11:21:00
64,10:50:00
88,11:26:00
44,14:24:00
31,11:08:00
28,13:09:00
27,10:14:00
23,13:16:00
23,13:08:00
26,14:16:00
31,14:36:00
616,9:35:00
33,10:15:00
87,10:23:00
53,10:16:00
35,13:23:00
27,14:04:00
72,15:00:00
53,13:37:00
27,14:43:00
79,11:24:00
31,14:42:00
55,11:12:00
33,14:11:00
336,9:39:00
55,11:03:00
69,14:01:00
59,13:34:00
155,10:41:00
82,13:54:00
54,14:26:00
18,14:17:00
35,11:00:00
37,10:54:00
36,14:23:00
32,14:07:00
62,10:18:00
24,10:35:00
7,14:58:00
37,11:09:00
527,9:34:00
39,13:19:00
26,14:37:00
78,14:25:00
63,11:22:00
50,10:08:00
39,14:35:00
105,10:24:00
58,14:51:00
53,14:53:00
38,13:28:00
20,14:12:00
55,14:10:00
48,10:38:00
38,13:48:00
71,14:54:00
307,9:41:00
23,13:06:00
67,14:31:00
37,10:31:00
68,10:20:00
35,11:30:00
60,14:00:00
38,10:53:00
25,10:59:00
31,10:57:00
45,13:41:00
398,9:36:00
31,11:15:00
25,10:36:00
116,9:43:00
20,11:14:00
68,13:33:00
128,13:55:00
53,14:48:00
42,13:53:00
72,10:07:00
30,13:07:00
42,14:21:00
50,13:35:00
30,13:17:00
14,13:15:00
29,13:24:00
307,10:48:00
627,9:33:00
321,9:40:00
44,10:12:00
48,10:11:00
43,13:57:00
137,9:42:00
46,10:26:00
68,10:22:00
27,14:38:00
38,10:32:00
21,14:15:00
50,14:32:00
32,13:13:00
26,14:22:00
46,11:17:00
39,10:29:00
86,9:56:00
65,11:02:00
32,10:58:00
46,13:02:00
87,10:25:00
43,13:47:00
76,9:59:00
34,14:08:00
36,13:46:00
39,14:39:00
29,13:26:00
26,14:20:00
88,10:40:00
119,10:45:00
50,14:40:00
108,10:44:00
61,10:02:00
35,10:56:00
49,10:05:00
50,11:29:00
60,14:47:00
53,10:04:00
31,13:25:00
34,11:16:00
47,13:40:00
18,13:14:00
31,14:34:00
18,13:12:00
17,14:14:00
113,9:45:00
220,10:46:00
53,13:38:00
56,13:30:00
56,11:28:00
62,11:27:00
44,14:33:00
27,13:10:00
24,13:52:00
32,14:19:00
1284,9:30:00
131,13:31:00
76,13:39:00
35,11:07:00
61,11:25:00
35,10:09:00
39,10:33:00
43,10:10:00
27,13:42:00
26,13:05:00
85,10:01:00
92,14:56:00
172,10:42:00
40,13:18:00
47,14:46:00
33,10:34:00
68,11:23:00
42,14:45:00
69,14:30:00
34,14:09:00
59,9:57:00
33,10:28:00
44,11:04:00
29,13:44:00
11,14:13:00
101,9:55:00
82,10:00:00
41,14:41:00
117,9:54:00
94,9:52:00
47,13:29:00
59,14:50:00
53,13:59:00
35,11:06:00
29,13:27:00
26,13:04:00
125,14:57:00
66,14:02:00
33,14:05:00
